Industry,Unit,Region,Date,Value
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1997Q1,1852053.252412
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1997Q1,234115.403678367
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1997Q1,148602.887183977
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1997Q1,47328.0000603464
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1997Q1,119044.274102478
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1997Q1,285895.535369784
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1997Q1,141818.920400351
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1997Q1,587628.14736087
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1997Q1,149275.842531029
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1997Q1,138344.241724797
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1997Q2,1863423.099844
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1997Q2,235249.845713908
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1997Q2,148880.595808409
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1997Q2,47887.7934724251
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1997Q2,119132.552801745
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1997Q2,287451.168671853
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1997Q2,141952.048362772
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1997Q2,591711.730367945
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1997Q2,150497.258231534
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1997Q2,140660.106413409
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1997Q3,1866177.004459
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1997Q3,235110.517150111
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1997Q3,148615.284984759
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1997Q3,48271.2090190526
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P4: Free State,1997Q3,118379.284631581
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P5: KwaZulu-Natal,1997Q3,287693.974198928
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P6: North West,1997Q3,141756.182009733
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P7: Gauteng,1997Q3,592982.049735036
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P8: Mpumalanga,1997Q3,150931.004566993
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P9: Limpopo,1997Q3,142437.498162804
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",Total: South Africa,1997Q4,1863999.372656
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P1: Western Cape,1997Q4,234378.304255392
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P2: Eastern Cape,1997Q4,147948.66461794
GDP All industries: Gross domestic product (GDPR) at market prices,"R million at constant 2010 prices, seasonally adjusted and annualised",P3: Northern Cape,1997Q4,48477.3152006126
